abd,C_ach,C_akw,C_ata,C_kma,C_oro,C_pad,C_paj,C_pal,age,fthr_ed,mthr_ed,orphan96,hh_fthr_frm,hh_size96,educ,distress,log.wage
0,0,0,1,0,0,0,0,0,18,7,0,0,1,8,11,2.333333254,0
1,0,0,1,0,0,0,0,0,30,0,0,0,1,7,7,4,6.216606101
1,0,0,1,0,0,0,0,0,20,0,4,0,1,7,3,3.666666746,0
1,0,0,1,0,0,0,0,0,30,4,4,0,1,6,4,8,0
0,0,0,1,0,0,0,0,0,25,10,4,0,1,8,11,2.666666746,7.265129966
0,0,0,1,0,0,0,0,0,18,4,0,1,1,6,3,5,6.726632978
0,0,0,1,0,0,0,0,0,17,4,4,0,1,5,4,9.333333015,0
1,0,0,0,0,0,1,0,0,30,4,0,0,1,3,6,3.333333254,6.572682051
1,0,0,1,0,0,0,0,0,26,0,0,0,1,6,6,0.666666687,7.601402335
0,0,0,1,0,0,0,0,0,18,4,0,1,1,5,6,1.666666627,8.699681401
0,0,0,1,0,0,0,0,0,30,4,0,0,1,2,13,2,0
1,0,0,1,0,0,0,0,0,19,7,4,0,1,5,5,5.666666508,7.313886832
0,0,0,1,0,0,0,0,0,22,4,0,0,1,8,10,7,0
0,0,0,1,0,0,0,0,0,20,4,0,0,1,8,9,1.333333373,0
0,0,0,1,0,0,0,0,0,25,10,4,0,1,8,6,3.333333254,8.999154823
1,0,0,1,0,0,0,0,0,25,10,0,0,1,8,3,3,6.795545938
1,0,0,1,0,0,0,0,0,29,7,4,0,1,5,4,5.666666508,6.083359812
0,0,0,1,0,0,0,0,0,19,10,7,0,1,7,7,9.666666985,7.419180698
1,0,0,1,0,0,0,0,0,23,4,4,1,1,7,6,5.666666508,7.601402335
0,0,0,0,1,0,0,0,0,25,0,4,0,1,9,7,2.333333254,5.880931937
1,0,1,0,0,0,0,0,0,14,7,0,0,1,3,4,2.333333254,0
1,0,1,0,0,0,0,0,0,29,12,10,0,1,16,11,2.333333254,9.097123665
0,0,1,0,0,0,0,0,0,24,7,4,0,0,17,13,4.333333492,0
1,0,0,0,0,0,1,0,0,27,12,7,0,1,5,7,2.666666746,5.75347923
